,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
U001,-227.08618927001953,105.90027236938477,-14.70994520187378,23.748887538909912,-9.049069321155548,6.381590822339058,-4.982243812456727,-3.0996300473809244,-14.536300373077392,-1.5226297050714492,-8.137259912490844,-1.337848526239395,-4.050499892234802,-7.310285043716431,-9.17889723777771,-2.3186325669288634,-7.08249546289444,-3.543183508515358,-8.849939012527466,-5.632573127746582,208.22670086698412,25.509226142945625,0.020708973266772117,0.07471596686173465,0.020008730329573156,5.117088194725147
U002,-185.50603942871095,90.54946441650391,-15.65841178894043,14.018594741821289,0.29868248999118807,-5.382802230119705,-9.777567100524902,-9.177270317077637,-8.096586561203003,-2.5345916360616685,-4.973470664024353,-10.421171760559082,-6.073455476760865,-7.4655234813690186,-6.660533475875854,-0.4837061882019043,-5.765100955963135,1.9283747285604478,-2.5697096288204193,-1.9653779983520507,230.01941058327907,45.98354629748147,0.023717378875157263,0.10738670013015758,0.012683587241917848,4.010904232761637
U003,-210.4189239501953,154.15567932128906,-6.67576590180397,22.527260780334473,-2.76102055311203,-1.8024124264717103,-10.586643648147582,3.0262725591659545,0.5895241558551788,-2.1382315561175345,3.6144081234931944,3.1278431840240954,-2.828284353017807,-3.2181216314435006,-2.4512474864721296,-4.08689591884613,-3.4519371509552004,2.240729162096977,-0.7965284317731858,5.949397778511047,281.96848518936895,49.00130749687535,0.024042127748161928,0.1094654068555037,0.02489238791167736,5.9109638352169505
U004,-205.1767547607422,123.80660018920898,10.69628643989563,-5.20881267786026,12.509492550231517,-16.922719097137453,4.245070332288742,-1.2065099582076073,1.9623936712741852,6.690473651885986,5.122406446933747,4.279496610164642,1.8032807573676108,4.766219505667687,-9.808802080154418,4.324115672707558,-5.970307779312134,2.8470027148723602,-10.226343154907227,3.64715676009655,180.6234752527314,106.71410722291917,0.02801761786805132,0.15386653365090272,0.015621558902785182,5.70757665087457
U005,-185.99643096923828,91.5069351196289,-11.950084733963013,22.87323713898659,-11.17144611813128,23.69532194137573,-14.32934467792511,-9.26211827993393,-19.139947128295898,8.845400702953338,-11.038418662548064,-3.2857193470001222,-2.2903014570474625,-15.201873588562012,-8.114391946792603,-2.484251779317856,-6.535418891906739,-18.6614990234375,-3.4091533064842223,-8.349348723888397,212.82396852505653,32.647159858468804,0.02030527036496997,0.09799848759517436,0.02048974186182022,6.153031462965117
U006,-137.35194702148436,116.95013656616212,-27.471077346801756,28.521001625061036,-14.7567147731781,-11.042575645446778,-22.343110179901124,-8.097680926322937,-16.00909423828125,-9.534041547775269,-13.918056392669678,-11.49103045463562,-7.292955136299133,-7.900350046157837,-14.028978061676025,-5.113426423072815,-14.227637767791748,-7.170944690704346,-12.49823751449585,-4.264753234386444,139.5662984194742,39.14270183434221,0.024315620011121506,0.11664390503326927,0.02308570221066475,5.829965069243331
U007,-253.52762603759766,124.36839294433594,-5.579917937517166,13.27319885790348,-11.460356044769288,-2.3885459542274474,-12.328341746330262,-1.2475919604301453,-4.581051975488663,-2.7899205228313804,-4.158982327580452,-0.899753987789154,-3.44468007683754,-4.3664870262146,-5.979293827712536,-1.08690085709095,-4.5357170581817625,-2.470404750108719,-3.553775703907013,-5.120290267467499,185.17299257477663,27.02728344458792,0.017219452983363675,0.08477186057127226,0.02282987963408232,5.889337523987043
U008,-258.6229476928711,111.1705207824707,7.421247588843107,21.531120252609252,-7.024719476699829,5.1537931025028225,-15.541895532608033,-6.7872355580329895,-11.494825172424317,-2.773887038230896,-2.0643206438049675,-10.073133611679078,-3.317849365621805,-8.953080320358277,0.45783722698688506,3.6639033615589143,-9.950677347183227,-3.471851098537445,-9.092981147766114,-3.928281149826944,188.03861612179503,35.6079362527455,0.019299825650302298,0.08861508817601725,0.026731207873672246,5.731385832104948
U009,-248.47254180908203,75.49184379577636,17.430478239059447,43.7572738647461,-7.249923849105835,-1.8775964975357056,-5.741507577896118,0.6145253233611584,-5.158257120847702,-7.755866146087646,0.8429098904132843,-11.122701406478882,-8.19391930103302,-2.3834253787994384,-4.4957707822322845,7.089235901832581,-11.816756248474121,-2.259650579094887,-7.786430311203003,-0.423518480360508,142.84204917215342,35.566919603261624,0.019325137339866027,0.07035937607335882,0.029651039000600576,5.736088922879523
U010,-221.22137756347655,95.39779891967774,5.574154001474381,17.723910284042358,3.152553181350231,-0.7381568551063538,-10.761756563186646,-1.332492535561323,-4.7968292236328125,0.7335796177387237,-2.5685591340065,-0.7195126920938492,-3.2527692344971,-4.396231478452682,-3.7309674978256226,-1.4938057020306588,-7.418840742111206,-0.5230246350169182,-5.593548738956452,-2.0344307482242585,219.23359092762934,47.912277474773084,0.023460052201563254,0.11652055472021172,0.019403109233826397,5.504007245061065
